timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Precipitation Total,Basel Snowfall Amount,Basel Cloud Cover Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Basel Sunshine Duration,Basel Shortwave Radiation,Basel Direct Shortwave Radiation,Basel Diffuse Shortwave Radiation,Basel Wind Gust,Basel Wind Gust,Basel Wind Gust,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m],Basel Wind Speed [80 m],Basel Wind Speed [80 m],Basel Wind Speed [80 m],Basel Wind Direction Dominant [80 m]
20080120T0000,4.6205287,11.680529,7.701361,71,88,78.875,1027,1030.7,1028.7543,0,0,19.258333,16.25,2.4583333,14.625,495.43668,2152.0198,1223.3636,928.65643,4.68,22.68,14.669999,4.510787,16.299694,9.9767,235.19392,7.69592,23.966375,17.13741,251.22
20080121T0000,1.1405287,12.160529,6.3946953,71,98,84.291664,1017,1027.2,1023.0916,0,0,42.470833,40.916668,30.916666,20.833334,396.69095,2192.96,1246.7906,946.16943,7.92,44.28,21.930002,4.829907,25.277025,9.771796,229.08086,7.289444,36.445442,13.729327,234.56155
20080122T0000,2.8705285,8.710529,6.83678,63,94,78.25,1011.5,1029.3,1018.57086,9,0,73.875,15.875,33.208332,71.791664,112.717026,1377.72,723.2212,654.49884,4.32,75.96,43.215,2.8799999,40.417915,25.987917,277.2172,5.8603754,52.171436,35.101734,280.0607
20080123T0000,-1.4994713,7.790529,3.2467785,54,94,69.958336,1029.2,1033.5,1031.1459,0,0,7.066667,1,6.5416665,0.29166666,506.2482,2289.0798,1305.4607,983.6192,1.4399999,16.56,7.0049996,1.8,14.8257065,7.3963966,120.73264,0.35999998,17.873556,10.861016,122.13289
20080124T0000,1.7605287,11.850529,6.3480287,39,71,55.791668,1028.4,1033.8,1030.0417,0,0,23.316666,46.333332,19.291666,0.9583333,446.3845,2300.65,1312.5316,988.1183,1.4399999,13.32,7.8749995,4.0249224,7.072878,5.299729,210.40553,2.6208394,9.585739,6.0653796,205.12782
20080125T0000,2.7005286,7.3205285,5.187612,69,96,84.041664,1034.2,1041,1038.8584,0.8,0,66.34583,32.333332,33.791668,57.541668,316.16028,2251.7002,1287.1198,964.58026,1.8,14.759999,5.699999,0.8049845,13.441071,4.9351788,327.3233,1.484318,15.034041,6.1545367,342.8274
20080126T0000,0.21052867,7.6305285,3.8584452,48,96,71.083336,1037.3,1042.2,1039.7708,0,0,17.462502,16.291666,1.4583334,12.625,527.2664,2470.64,1412.1378,1058.5021,0.71999997,9.72,4.14,0.35999998,6.4799995,3.671646,147.8132,0.35999998,10.195057,4.4534636,143.79741
20080127T0000,2.7305286,10.330529,6.723862,23,50,40.875,1034.5,1038.1,1036.3125,0,0,34.49166,36.5,32,0,491.1113,2491.1099,1425.1917,1065.9181,3.6,37.079998,20.55,3.319036,21.626984,10.66422,256.71378,0,26.727423,16.285162,264.4859
20080128T0000,2.9705286,11.420529,6.625529,39,79,58.666668,1031,1038,1034.1334,0,0,14.266666,18.916666,9.791667,0,438.1143,2508.0198,1436.4414,1071.5784,2.8799999,16.919998,5.9550014,1.1384199,6.439876,3.2936943,75.343254,1.0182338,12.599999,3.6844645,16.484451
20080129T0000,3.3305285,11.460529,7.4367795,59,92,76.166664,1024.7,1031.1,1027.75,0,0,89.791664,68.125,89.791664,0.125,11.268793,2237.46,1282.8278,954.63226,2.16,5.3999996,3.7800004,0.71999997,3.5455887,2.1277325,57.136818,0.71999997,3.5455887,1.9802828,43.32515
20080130T0000,2.1505284,8.260529,5.519279,58,91,73.375,1023.8,1028.2,1025.2,2.5,0.63,91.96667,68.125,89.625,52.875,114.127655,1874.3401,984.75525,889.5848,1.8,39.239998,25.964998,0.5091169,23.584808,12.666133,274.8216,0,28.241077,17.041899,273.14838
20080131T0000,0.53052866,5.6805286,2.8134453,58,96,81.791664,1015.9,1030.5,1024.6918,0.5,0.35,92.875,6.7083335,31.833334,70.416664,80.42554,2012.2902,1233.2335,779.0565,3.6,48.96,17.715,0.71999997,21.602999,11.112924,268.64215,1.4399999,22.702845,13.999626,267.29254
20080201T0000,3.0605285,10.060529,6.7896953,42,73,59.666668,1002,1015.4,1007.6541,2.1,0,83.262505,54.583332,70.458336,70.208336,231.51064,2464.41,1425.2067,1039.2034,40.68,88.56,68.73,4.072935,48.885826,32.705997,227.51253,9.19939,60.34378,42.843124,229.20874
20080202T0000,1.1605287,4.8105288,2.7805288,63,93,80.666664,1006.5,1023.8,1016.45825,2.7,1.89,50.166668,38.958332,41.666668,42.208332,450.9968,2649.53,1526.8052,1122.7247,4.68,47.16,22.409996,3.2399998,24.535524,15.263424,274.72345,2.8799999,31.616526,18.460741,276.41693
20080203T0000,-1.8694713,8.230529,2.1205287,54,88,72.375,1010.2,1023.5,1016.79584,0,0,0.5375,1.7916666,0,0,582.4093,2737.6396,1579.1191,1158.5208,6.4799995,33.12,15.779999,6.763786,20.00512,12.62724,117.83601,12.682018,30.007679,21.321444,120.33292
20080204T0000,-2.0594714,6.7005286,2.8696954,69,92,79.5,1005.6,1016.2,1009.13324,1.1,0,80.504166,41.583332,79.25,45.083332,0,1124.9601,565.58264,559.3773,5.3999996,43.199997,19.484999,4.6102495,23.979893,14.090294,174.38397,3.219938,36.862663,23.721298,165.23457
20080205T0000,1.5405287,10.590529,5.753445,52,89,73.541664,1016.8,1021.4,1019.80414,3.2,0,77.262505,59.916668,60.333332,64.25,38.93617,1354.5801,729.67975,624.90015,9,60.839996,22.5,6.4096174,19.969458,10.823384,200.29758,9.746631,30.918108,16.720163,218.74481
20080206T0000,6.3505287,11.970529,9.892196,63,81,70.041664,1019.6,1032.8,1024.7001,0.1,0,54.625,26.625,37.375,39.291668,295.29044,1707.9102,829.9446,877.9654,24.84,72,53.955006,13.849477,36.2082,26.695913,254.30371,25.364037,46.56263,35.937176,255.22519
20080207T0000,3.8105285,8.020529,5.3226123,75,97,86.25,1033.5,1038.8,1037.3541,0,0,50.416668,3.4166667,0,50.416668,281.35,2429.6997,1487.3926,942.30756,1.08,20.880001,7.5,1.2979984,9.904906,5.5755353,349.90894,1.9386592,20.808498,8.804561,314.029
20080208T0000,0.070528656,10.510529,4.198029,28,93,70,1034.5,1039.3,1037.0001,0,0,0.41250002,1.375,0,0,591.1642,2963.7,1719.6581,1244.042,3.96,36.719997,15.719998,3.219938,12.475961,6.573017,108.48404,0,24.863466,11.512802,110.58515
20080209T0000,0.43052867,8.600529,4.0113616,53,70,61.875,1033.9,1036.4,1035.1918,0,0,0,0,0,0,600.5,2943.2302,1709.6593,1233.5706,2.8799999,27.359999,13.574998,2.5455842,12.984975,7.3148646,117.73972,2.16,25.77962,12.305697,122.62915
20080210T0000,-0.27947134,6.7505283,3.4355285,64,92,78.375,1032.8,1035.8,1034.0875,0,0,9.3625,6.7916665,7.2083335,3.1666667,487.05154,3036.6797,1765.3529,1271.327,0.71999997,41.399998,10.889999,0,11.043261,4.844676,98.97262,0.35999998,22.862125,8.585938,114.338
20080211T0000,-0.65947133,8.5505295,2.633862,58,97,78.625,1030.8,1034.2,1033.1625,0,0,39.220833,0.041666668,0.041666668,39.166668,287.63333,2515.1401,1563.1208,952.0191,0.71999997,30.960001,9.165,1.835647,12.181625,6.0785146,153.88606,0.5091169,23.863409,9.587391,105.85193
20080212T0000,-0.90947133,8.400529,3.7326117,63,92,74.791664,1031.6,1034.5,1033.0458,0,0,28.375,12.333333,28.375,0,432.17874,3106.1,1811.8805,1294.2195,1.08,20.16,7.1699986,0,9.028754,4.2718897,251.07536,1.1384199,16.135872,6.3636594,129.80556
20080213T0000,-0.56947136,9.250529,4.415945,62,93,74.916664,1032.7,1035.9,1034.1292,0,0,0,0,0,0,613.01666,3141.7002,1835.6266,1306.0734,1.8,30.599998,11.415,2.9024127,12.144331,6.779302,85.40575,3.8773184,24.312662,13.481488,103.22897
20080214T0000,-0.71947134,8.000528,3.5559454,63,92,78.458336,1031.5,1036.8,1034.1542,0,0,0.1,0.33333334,0,0,616.15,3229.8103,1888.6735,1341.1365,0.71999997,10.799999,4.845,0.5091169,8.891344,4.208112,326.778,0.71999997,13.854155,6.0003524,343.1416
20080215T0000,-2.6094716,8.150529,2.3563616,59,96,77.541664,1031.4,1035.5,1032.9625,0,0,29.166666,0,0,29.166666,413.86667,3156.8296,1849.9388,1306.8911,1.8,52.56,15.84,2.16,23.584808,9.861449,77.47118,2.16,35.66908,12.871867,78.84692
20080216T0000,-4.4694715,7.2105284,0.5992785,30,95,63.041668,1035.8,1041.4,1038.7418,0,0,8.666667,0,0,8.666667,535.43335,3422.9402,2006.2572,1416.6825,1.8,51.48,29.31,1.5273507,24.216522,14.104592,92.25092,1.8,32.760002,19.51721,93.521454
20080217T0000,-3.4294715,6.2305284,0.7492785,56,73,62.708332,1039.9,1042.9,1041.6583,0,0,0,0,0,0,625.85,3432.73,2014.286,1418.4438,0.71999997,32.399998,13.5599985,0,15.072783,6.548206,116.35178,0,24.774696,9.865718,121.24324
20080218T0000,-0.6094713,8.620529,3.4021957,54,78,62.916668,1030.8,1040.7,1035.5209,0,0,0.05,0.16666667,0,0,628.8884,3477.2297,2042.764,1434.4658,0.71999997,9.72,4.185,2.2768397,7.92,4.507941,67.47943,1.8,13.608762,6.101715,74.919205
20080219T0000,-1.6494713,10.080529,4.416779,54,82,62.833332,1023,1030.4,1026.4791,0,0,0,0,0,0,632.4,3489.6902,2053.045,1436.6451,1.4399999,9.36,4.7700005,2.0991426,11.525623,6.388616,109.81588,0.8049845,21.370783,11.02954,116.0088
20080220T0000,2.8205285,13.180529,7.081778,47,85,63.625,1019.8,1023.7,1022.27094,0.1,0,39,1.4166666,38.208332,29.291666,378.7716,3381.1099,1994.4637,1386.6461,1.8,21.599998,9.225,2.1897945,15.463244,7.5016694,245.29756,0.5091169,19.130875,9.990694,227.58948
20080221T0000,5.4705286,11.730529,8.741363,71,92,80.541664,1023.1,1029.2,1025.7001,0.5,0,75.51667,21.375,25.833334,75.416664,116.86702,2201.86,1314.8469,887.013,3.96,35.28,17.025,3.6,24.187069,10.576002,253.12762,5.1165614,28.08923,14.855137,253.69444
20080222T0000,5.1905284,13.520529,9.145112,64,89,76.041664,1026.8,1030.8,1029.2208,0,0,34.3875,28.708334,31.666666,3.2083333,552.7342,3323.2598,1998.1024,1325.1573,2.16,22.68,13.365001,1.9386592,16.327497,9.325415,241.49815,2.0364676,20.12461,14.29753,251.01039
20080223T0000,7.0305285,13.980529,10.060112,69,88,80.333336,1026.2,1031.3,1029.0916,0,0,7.862499,10.875,5.9583335,1.6666666,631.8125,3600.9397,2128.9082,1472.0319,1.08,14.4,7.6649995,1.4399999,10.44,5.737791,211.72937,1.08,21.603,9.430026,258.4533
20080224T0000,5.2205286,16.04053,10.766362,60,90,74.291664,1021.7,1026.9,1024.4248,0,0,0.75,2.5,0,0,642.42487,3657.9,2165.3142,1492.5858,2.52,8.64,5.6999993,1.9386592,9.779817,6.3063655,101.71555,2.1897945,17.283749,7.1611,113.96249
20080225T0000,6.4705286,14.790529,10.8855295,63,86,72.458336,1022.1,1026,1024.1041,0,0,20.754168,10.75,5.625,13.666667,590.8628,3718.4202,2204.1174,1514.3026,1.4399999,44.28,7.605,1.835647,8.557102,5.2814918,173.15723,1.08,11.27553,5.5975347,233.1301
20080226T0000,6.7305284,16.000528,11.323863,57,85,72.75,1013.9,1023.1,1018.1333,0.4,0,38.895832,22.375,25,30.041666,334.23474,3059.8198,1781.1143,1278.7057,1.08,52.92,20.744997,2.3051248,25.862436,12.188254,233.47481,3.0758414,31.421213,15.628398,238.67752
20080227T0000,7.2705283,11.680529,9.661779,54,88,71.583336,1015.3,1023,1019.7334,0.8,0,71.71667,29.541666,39.25,55.583332,198.43404,3673.92,2191.5789,1482.3412,0.71999997,56.519997,27.164999,2.8116899,31.435646,16.89353,279.63855,5.0528407,40.89606,22.227234,281.88657
20080228T0000,3.0605285,13.610529,8.626779,64,88,74.125,1020.9,1024.2,1022.4416,0,0,31.908333,17.958334,8.125,21.791666,463.98242,3907.1,2324.098,1583.0021,1.8,11.879999,5.04,2.16,9.178235,5.1234097,126.22218,1.4399999,16.595179,7.841311,126.32251
20080229T0000,9.270529,14.000529,11.915112,64,84,74.041664,1017.1,1021.8,1020.25415,0,0,96.625,56.916668,80.291664,77.083336,25.531916,2442.1602,1269.0192,1173.1407,7.92,60.479996,36.224995,5.4477882,29.738703,19.573671,251.76752,12.594856,39.860954,27.826746,252.4556
20080301T0000,8.920529,12.510529,11.080948,64,81,73.041664,1007.1,1018,1012.4917,3.1999998,0,75.13333,72.666664,45.833332,66.75,268.82874,2670,1392.4218,1277.5782,47.88,87.479996,67.53001,21.602999,50.97529,37.70769,262.01923,31.32207,63.231007,48.361324,262.12857
20080302T0000,8.210529,12.360529,10.538029,67,82,73.083336,1015.3,1018.1,1016.66675,0.4,0,84.666664,10.791667,49.166668,79,46.595745,3070.5,1955.2485,1115.2515,45.36,64.439995,57.585003,20.833395,35.870163,29.637642,256.91602,30.173496,43.416954,38.220783,256.39026
20080303T0000,4.7305284,11.990529,9.276361,70,87,79.708336,1012.3,1017,1014.4084,2.4,0,54.82083,10.041667,26.625,50,248.38582,2737.6401,1642.483,1095.1571,19.44,51.839996,40.23,8.707238,30.619051,20.337376,265.79272,19.137648,36.764088,28.293045,266.56512
20080304T0000,1.7605287,5.8605285,4.143445,66,94,79.958336,1010.7,1018.8,1013.60004,4.8,2.38,80.791664,0,66.833336,68.5,0,1868.1102,835.3428,1032.7672,3.96,50.399998,21.345,3.0758414,34.62369,15.363351,294.38757,1.8,42.5044,19.233656,292.97275
20080305T0000,-0.57947135,3.4805286,1.3296952,48,94,70.166664,1018.7,1031.8,1026.2458,0,0,45.083332,0,26.125,41.041668,546.82544,3897.31,2337.623,1559.6869,21.96,62.279995,42.764996,10.661107,47.56906,30.042625,19.483917,24.703976,55.966972,36.607468,21.699097
20080306T0000,-3.6094716,6.9705286,0.8480285,42,92,66.083336,1021.9,1032.8,1027.1708,0,0,0.52500004,1.75,0,0,685.2449,4404.61,2644.5144,1760.0956,1.8,20.519999,7.4400005,1.5273507,9.19939,4.842278,53.252518,0.71999997,23.795427,8.331515,67.92086
20080307T0000,-0.96947134,8.970529,3.4588616,52,79,63.583332,1013,1022.1,1016.7791,0,0,4.7083335,9,3.25,0.41666666,654.87695,4479.3696,2691.1482,1788.2217,1.8,16.919998,7.9199986,2.7416782,14.973577,7.3845234,311.2099,0.71999997,17.414474,9.434781,342.25534
20080308T0000,2.8205285,9.270529,5.987196,61,95,74.708336,1010.9,1015,1013.06665,0.2,0,45.108337,6.0833335,3.5416667,44.708332,478.93347,4063.74,2507.9058,1555.8341,0.71999997,7.92,4.095,0.71999997,5.506941,2.9870903,198.00417,1.0182338,10.1887,3.4200516,261.9953
